entity	table	access_class	has_api4	has_api3	source
ACL	civicrm_acl	API4	yes	yes	schema
ACLCache	civicrm_acl_cache	RAW_SQL_ONLY	no	no	schema
ACLContactCache	civicrm_acl_contact_cache	RAW_SQL_ONLY	no	no	schema
ACLEntityRole	civicrm_acl_entity_role	API4	yes	yes	schema
ActionLog	civicrm_action_log	RAW_SQL_ONLY	no	no	schema
ActionSchedule	civicrm_action_schedule	API4	yes	yes	schema
Activity	civicrm_activity	API4	yes	yes	schema
ActivityContact	civicrm_activity_contact	API4	yes	yes	schema
Address	civicrm_address	API4	yes	yes	schema
AddressFormat	civicrm_address_format	RAW_SQL_ONLY	no	no	schema
Batch	civicrm_batch	API4	yes	yes	schema
BouncePattern	civicrm_mailing_bounce_pattern	API4	yes	no	schema
BounceType	civicrm_mailing_bounce_type	API4	yes	no	schema
Cache	civicrm_cache	RAW_SQL_ONLY	no	no	schema
Campaign	civicrm_campaign	API3	no	yes	schema
CampaignGroup	civicrm_campaign_group	RAW_SQL_ONLY	no	no	schema
Case	civicrm_case	API3	no	yes	schema
CaseActivity	civicrm_case_activity	RAW_SQL_ONLY	no	no	schema
CaseContact	civicrm_case_contact	API3	no	yes	schema
CaseType	civicrm_case_type	API3	no	yes	schema
Component	civicrm_component	RAW_SQL_ONLY	no	no	schema
Contact	civicrm_contact	API4	yes	yes	schema
ContactType	civicrm_contact_type	API4	yes	yes	schema
Contribution	civicrm_contribution	API3	no	yes	schema
ContributionPage	civicrm_contribution_page	API3	no	yes	schema
ContributionProduct	civicrm_contribution_product	API3	no	yes	schema
ContributionRecur	civicrm_contribution_recur	API3	no	yes	schema
ContributionSoft	civicrm_contribution_soft	API3	no	yes	schema
Country	civicrm_country	API4	yes	yes	schema
County	civicrm_county	API4	yes	no	schema
Currency	civicrm_currency	RAW_SQL_ONLY	no	no	schema
CustomField	civicrm_custom_field	API4	yes	yes	schema
CustomGroup	civicrm_custom_group	API4	yes	yes	schema
Dashboard	civicrm_dashboard	API4	yes	yes	schema
DashboardContact	civicrm_dashboard_contact	API4	yes	yes	schema
DedupeException	civicrm_dedupe_exception	API4	yes	no	schema
DedupeRule	civicrm_dedupe_rule	API4	yes	no	schema
DedupeRuleGroup	civicrm_dedupe_rule_group	API4	yes	no	schema
Discount	civicrm_discount	API4	yes	no	schema
Domain	civicrm_domain	API4	yes	yes	schema
Email	civicrm_email	API4	yes	yes	schema
EntityBatch	civicrm_entity_batch	API4	yes	yes	schema
EntityFile	civicrm_entity_file	API4	yes	no	schema
EntityFinancialAccount	civicrm_entity_financial_account	API3	no	yes	schema
EntityFinancialTrxn	civicrm_entity_financial_trxn	API3	no	yes	schema
EntityTag	civicrm_entity_tag	API4	yes	yes	schema
Event	civicrm_event	API3	no	yes	schema
Extension	civicrm_extension	API4	yes	yes	schema
File	civicrm_file	API4	yes	yes	schema
FinancialAccount	civicrm_financial_account	API3	no	yes	schema
FinancialItem	civicrm_financial_item	API3	no	yes	schema
FinancialTrxn	civicrm_financial_trxn	API3	no	yes	schema
FinancialType	civicrm_financial_type	API3	no	yes	schema
Friend	civicrm_tell_friend	RAW_SQL_ONLY	no	no	schema
Group	civicrm_group	API4	yes	yes	schema
GroupContact	civicrm_group_contact	API4	yes	yes	schema
GroupContactCache	civicrm_group_contact_cache	RAW_SQL_ONLY	no	no	schema
